month,code,country,population,totalVaccinations,vaccinationsPer100
Jan,MAR,Morocco,36910558,126000,0.34
Jan,AFG,Afghanistan,38928341,,0.00
Jan,AGO,Angola,32866268,,0.00
Jan,ALB,Albania,2877800,549,0.02
Jan,AND,Andorra,77265,576,0.75
Jan,ARE,United Arab Emirates,9890400,3334162,33.71
Jan,ARG,Argentina,45195777,366384,0.81
Jan,ARM,Armenia,2963234,,0.00
Jan,ATG,Antigua and Barbuda,97928,,0.00
Jan,AUS,Australia,25499881,,0.00
Jan,AUT,Austria,9006400,256570,2.85
Jan,AZE,Azerbaijan,10139175,0,0.00
Jan,BDI,Burundi,11890781,,0.00
Jan,BEL,Belgium,11589616,335713,2.90
Jan,BEN,Benin,12123198,,0.00
Jan,BFA,Burkina Faso,20903278,,0.00
Jan,BGD,Bangladesh,164689383,567,0.00
Jan,BGR,Bulgaria,6948445,41125,0.59
Jan,BHR,Bahrain,1701583,97776,5.75
Jan,BHS,Bahamas,393248,,0.00
Jan,BIH,Bosnia and Herzegovina,3280815,,0.00
Jan,BLR,Belarus,9449321,,0.00
Jan,BLZ,Belize,397621,,0.00
Jan,BMU,Bermuda,62273,4897,7.86
Jan,BOL,Bolivia,11673029,67,0.00
Jan,BRA,Brazil,212559409,2074059,0.98
Jan,BRB,Barbados,287371,,0.00
Jan,BRN,Brunei,437483,,0.00
Jan,BTN,Bhutan,771612,,0.00
Jan,BWA,Botswana,2351625,,0.00
Jan,CAF,Central African Republic,4829764,,0.00
Jan,CAN,Canada,37742157,957229,2.54
Jan,CHE,Switzerland,8654618,314350,3.63
Jan,CHL,Chile,19116209,67428,0.35
Jan,CHN,China,1439323774,24000000,1.67
Jan,CIV,Cote d'Ivoire,26378275,,0.00
Jan,CMR,Cameroon,26545864,,0.00
Jan,COD,Democratic Republic of Congo,89561404,,0.00
Jan,COG,Congo,5518092,,0.00
Jan,COL,Colombia,50882884,,0.00
Jan,COM,Comoros,869595,,0.00
Jan,CPV,Cape Verde,555988,,0.00
Jan,CRI,Costa Rica,5094114,48128,0.94
Jan,CUB,Cuba,11326616,,0.00
Jan,CYM,Cayman Islands,65720,,0.00
Jan,CYP,Cyprus,875899,25519,2.91
Jan,CZE,Czechia,10708982,278705,2.60
Jan,DEU,Germany,83783945,2536623,3.03
Jan,DJI,Djibouti,988002,,0.00
Jan,DMA,Dominica,71991,,0.00
Jan,DNK,Denmark,5792203,273268,4.72
Jan,DOM,Dominican Republic,10847904,,0.00
Jan,DZA,Algeria,43851043,30,0.00
Jan,ECU,Ecuador,17643060,2982,0.02
Jan,EGY,Egypt,102334403,1315,0.00
Jan,ERI,Eritrea,3546427,,0.00
Jan,ESP,Spain,46754783,1609261,3.44
Jan,EST,Estonia,1326539,38055,2.87
Jan,ETH,Ethiopia,114963583,,0.00
Jan,FIN,Finland,5540718,162277,2.93
Jan,FJI,Fiji,896444,,0.00
Jan,FRA,France,68147687,1533630,2.25
Jan,FRO,Faeroe Islands,48865,3994,8.17
Jan,FSM,Micronesia (country),115021,,0.00
Jan,GAB,Gabon,2225728,,0.00
Jan,GBR,United Kingdom,67886004,9790576,14.42
Jan,GEO,Georgia,3989175,,0.00
Jan,GGY,Guernsey,67052,6673,9.95
Jan,GHA,Ghana,31072945,,0.00
